date,code,relative_quoted_spread
2015-04-13,BTCUSD,0.0016197246468099
2015-04-14,BTCUSD,0.0007791195948577
2015-04-15,BTCUSD,0.0002257591150243
2015-04-16,BTCUSD,0.002002002002002
2015-04-17,BTCUSD,4.494483022086296e-05
2015-04-18,BTCUSD,0.0004925556923765
2015-04-19,BTCUSD,0.0005834436640261
2015-04-20,BTCUSD,0.0010294282197605
2015-04-21,BTCUSD,0.0005569956511493
2015-04-22,BTCUSD,0.001028233580395
2015-04-23,BTCUSD,4.264483251238152e-05
2015-04-24,BTCUSD,0.0002600442075152
2015-04-25,BTCUSD,0.0004847416547316
2015-04-26,BTCUSD,4.555704881433637e-05
2015-04-27,BTCUSD,8.676789587844603e-05
2015-04-28,BTCUSD,0.0003112286863926
2015-04-29,BTCUSD,4.422919569203612e-05
2015-04-30,BTCUSD,0.0001269706909321
2015-05-01,BTCUSD,0.0015781953123334
2015-05-02,BTCUSD,0.0002121475698496
2015-05-03,BTCUSD,4.164671095096477e-05
2015-05-04,BTCUSD,0.0001255676705104
2015-05-05,BTCUSD,0.0002547446185199
2015-05-06,BTCUSD,0.0002602246606236
2015-05-07,BTCUSD,0.0002939138832321
2015-05-08,BTCUSD,0.0003259186832885
2015-05-09,BTCUSD,0.0004936849467231
2015-05-10,BTCUSD,0.0012040939193257
2015-05-11,BTCUSD,0.0005347043701799
2015-05-12,BTCUSD,0.0002478621886231
2015-05-13,BTCUSD,0.0001698585927215
2015-05-14,BTCUSD,0.0001268043198004
2015-05-15,BTCUSD,0.0003374673078544
2015-05-16,BTCUSD,4.238096247173964e-05
2015-05-17,BTCUSD,0.0002966793108563
2015-05-18,BTCUSD,0.0008180311282372
2015-05-19,BTCUSD,8.605481691829874e-05
2015-05-20,BTCUSD,0.0002995741767059
2015-05-21,BTCUSD,0.0005524509699763
2015-05-23,BTCUSD,0.0003764823994478
2015-05-24,BTCUSD,0.000620770997579
2015-05-25,BTCUSD,0.0004639490499589
2015-05-26,BTCUSD,0.0005468273497803
2015-05-27,BTCUSD,8.467042038868055e-05
2015-05-28,BTCUSD,4.221814113520742e-05
2015-05-29,BTCUSD,0.000253624719956
2015-05-30,BTCUSD,4.319374554572847e-05
2015-05-31,BTCUSD,0.00100202583484
2015-06-01,BTCUSD,0.000544267053701
2015-06-02,BTCUSD,0.0011128669678826
2015-06-03,BTCUSD,0.0002659928181939
2015-06-04,BTCUSD,0.0003125627916323
2015-06-05,BTCUSD,4.440201585147928e-05
2015-06-06,BTCUSD,0.000222513962751
2015-06-07,BTCUSD,0.0003581661891118
2015-06-08,BTCUSD,0.0007000043750273
2015-06-09,BTCUSD,0.000347886588972
2015-06-10,BTCUSD,4.370533860707111e-05
2015-06-11,BTCUSD,0.0002180216713541
2015-06-12,BTCUSD,0.0002612671456564
2015-06-13,BTCUSD,4.290096312658317e-05
2015-06-14,BTCUSD,8.578904473890881e-05
2015-06-15,BTCUSD,0.0002956143499652
2015-06-16,BTCUSD,4.030714040988696e-05
2015-06-17,BTCUSD,0.0009278870398387
2015-06-18,BTCUSD,4.006972131505181e-05
2015-06-19,BTCUSD,0.0001215288327155
2015-06-20,BTCUSD,4.086887222343382e-05
2015-06-21,BTCUSD,8.19269211862273e-05
2015-06-22,BTCUSD,0.0002828682844038
2015-06-23,BTCUSD,4.084883887171792e-05
2015-06-24,BTCUSD,4.152737692319888e-05
2015-06-25,BTCUSD,4.140701020679036e-05
2015-06-26,BTCUSD,0.0008226728641356
